Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8723404255319149,0.8941937200426425,0.8723404255319149,0.879784386387236
Random Forest,0.9456264775413712,0.944001544831566,0.9456264775413712,0.9439049507719955
Gradient Boosting,0.9598108747044918,0.9592149184896942,0.9598108747044918,0.9583136525961558
