Model,Accuracy,Precision,Recall,F1-Score
Gradient Boosting,0.9408983451536643,0.9405577282084299,0.9408983451536643,0.940696252118204
Random Forest,0.933806146572104,0.9312971589240002,0.933806146572104,0.9318693844252656
Logistic Regression,0.8699763593380615,0.8925714220464528,0.8699763593380615,0.8776019829363437
